feature,importance_mean,importance_std
V14,0.0007839103291714556,7.303937387193916e-05
V12,0.0007360244040862995,7.105287182183462e-05
V3,0.000484179909194149,6.397094493783567e-05
V11,0.00042742622020436327,6.267947306709315e-05
V4,0.00037067253121457754,7.626276958000806e-05
V10,0.0001791288308740535,5.044502927545697e-05
V1,0.00015429909194102364,8.051617099048916e-05
V16,6.207434733261908e-05,1.6351348711132303e-05
V24,3.369750283771511e-05,1.473223585223898e-05
V17,3.369750283770401e-05,5.32065834277784e-06
V18,1.9509080590285333e-05,9.550874019460617e-06
V6,1.7735527809370488e-05,0.0
V7,1.7735527809370488e-05,0.0
V8,1.596197502842234e-05,9.550874019475047e-06
V20,1.4188422247496391e-05,7.094211123748196e-06
V21,1.2414869466559341e-05,8.12743986764346e-06
V28,1.0641316685622293e-05,8.688598690379763e-06
V5,5.320658342833351e-06,1.3851890032479973e-05
V2,5.320658342811146e-06,8.127439867643459e-06
V15,5.320658342811146e-06,8.127439867643459e-06
Hour,5.320658342811146e-06,8.127439867643459e-06
V9,1.773552780948151e-06,9.550874019475047e-06
V19,1.773552780937049e-06,5.320658342811146e-06
V22,0.0,0.0
V27,0.0,0.0
V26,0.0,0.0
V23,0.0,0.0
V25,0.0,0.0
Day,0.0,0.0
Time,-1.7735527809148444e-06,9.550874019460617e-06
V13,-1.7735527809259466e-06,5.320658342777839e-06
Amount,-8.86776390461863e-06,1.1897353739527453e-05
